date,fng_value,fng_classification
2/8/2020,56,Greed
2/7/2020,56,Greed
2/6/2020,61,Greed
2/5/2020,53,Neutral
2/4/2020,56,Greed
2/3/2020,59,Greed
2/2/2020,57,Greed
2/1/2020,57,Greed
1/31/2020,55,Greed
1/30/2020,57,Greed
1/29/2020,57,Greed
1/28/2020,54,Neutral
1/27/2020,50,Neutral
1/26/2020,42,Fear
1/25/2020,41,Fear
1/24/2020,40,Fear
1/23/2020,49,Neutral
1/22/2020,52,Neutral
1/21/2020,49,Neutral
1/20/2020,48,Neutral
1/19/2020,53,Neutral
1/18/2020,51,Neutral
1/17/2020,54,Neutral
1/16/2020,55,Greed
1/15/2020,54,Neutral
1/14/2020,56,Greed
1/13/2020,49,Neutral
1/12/2020,45,Fear
1/11/2020,50,Neutral
1/10/2020,41,Fear
1/9/2020,44,Fear
1/8/2020,51,Neutral
1/7/2020,40,Fear
1/6/2020,41,Fear
1/5/2020,39,Fear
1/4/2020,38,Fear
1/3/2020,38,Fear
1/2/2020,39,Fear
1/1/2020,37,Fear
12/31/2019,38,Fear
12/30/2019,40,Fear
12/29/2019,37,Fear
12/28/2019,37,Fear
12/27/2019,38,Fear
12/26/2019,39,Fear
12/25/2019,22,Extreme Fear
12/24/2019,25,Extreme Fear
12/23/2019,33,Fear
12/22/2019,20,Extreme Fear
12/21/2019,23,Extreme Fear
12/20/2019,23,Extreme Fear
12/19/2019,21,Extreme Fear
12/18/2019,15,Extreme Fear
12/17/2019,23,Extreme Fear
12/16/2019,24,Extreme Fear
12/15/2019,21,Extreme Fear
12/14/2019,27,Fear
12/13/2019,22,Extreme Fear
12/12/2019,23,Extreme Fear
12/11/2019,20,Extreme Fear
12/10/2019,26,Fear
12/9/2019,32,Fear
12/8/2019,28,Fear
12/7/2019,32,Fear
12/6/2019,29,Fear
12/5/2019,21,Extreme Fear
12/4/2019,24,Extreme Fear
12/3/2019,28,Fear
12/2/2019,28,Fear
12/1/2019,25,Extreme Fear
11/30/2019,38,Fear
11/29/2019,31,Fear
11/28/2019,32,Fear
11/27/2019,20,Extreme Fear
11/26/2019,21,Extreme Fear
11/25/2019,17,Extreme Fear
11/24/2019,21,Extreme Fear
11/23/2019,23,Extreme Fear
11/22/2019,20,Extreme Fear
11/21/2019,30,Fear
11/20/2019,32,Fear
11/19/2019,32,Fear
11/18/2019,38,Fear
11/17/2019,38,Fear
11/16/2019,41,Fear
11/15/2019,38,Fear
11/14/2019,41,Fear
11/13/2019,38,Fear
11/12/2019,39,Fear
11/11/2019,40,Fear
11/10/2019,39,Fear
11/9/2019,38,Fear
11/8/2019,42,Fear
11/7/2019,54,Neutral
11/6/2019,53,Neutral
11/5/2019,54,Neutral
11/4/2019,49,Neutral
11/3/2019,56,Greed
11/2/2019,51,Neutral
11/1/2019,49,Neutral
10/31/2019,50,Neutral
10/30/2019,53,Neutral
10/29/2019,54,Neutral
10/28/2019,52,Neutral
10/27/2019,50,Neutral
10/26/2019,53,Neutral
10/25/2019,24,Extreme Fear
10/24/2019,20,Extreme Fear
10/23/2019,33,Fear
10/22/2019,39,Fear
10/21/2019,37,Fear
10/20/2019,37,Fear
10/19/2019,41,Fear
10/18/2019,40,Fear
10/17/2019,40,Fear
10/16/2019,40,Fear
10/15/2019,39,Fear
10/14/2019,37,Fear
10/13/2019,38,Fear
10/12/2019,38,Fear
10/11/2019,39,Fear
10/10/2019,41,Fear
10/9/2019,37,Fear
10/8/2019,39,Fear
10/7/2019,27,Fear
10/6/2019,32,Fear
10/5/2019,31,Fear
10/4/2019,30,Fear
10/3/2019,37,Fear
10/2/2019,39,Fear
10/1/2019,38,Fear
9/30/2019,27,Fear
9/29/2019,33,Fear
9/28/2019,32,Fear
9/27/2019,24,Extreme Fear
9/26/2019,12,Extreme Fear
9/25/2019,15,Extreme Fear
9/24/2019,39,Fear
9/23/2019,41,Fear
9/22/2019,37,Fear
9/21/2019,37,Fear
9/20/2019,41,Fear
9/19/2019,31,Fear
9/18/2019,38,Fear
9/17/2019,41,Fear
9/16/2019,38,Fear
9/15/2019,38,Fear
9/14/2019,39,Fear
9/13/2019,38,Fear
9/12/2019,39,Fear
9/11/2019,38,Fear
9/10/2019,41,Fear
9/9/2019,41,Fear
9/8/2019,43,Fear
9/7/2019,39,Fear
9/6/2019,43,Fear
9/5/2019,41,Fear
9/4/2019,43,Fear
9/3/2019,41,Fear
9/2/2019,28,Fear
9/1/2019,24,Extreme Fear
8/31/2019,20,Extreme Fear
8/30/2019,24,Extreme Fear
8/29/2019,20,Extreme Fear
8/28/2019,32,Fear
8/27/2019,30,Fear
8/26/2019,41,Fear
8/25/2019,33,Fear
8/24/2019,39,Fear
8/23/2019,33,Fear
8/22/2019,5,Extreme Fear
8/21/2019,11,Extreme Fear
8/20/2019,39,Fear
8/19/2019,30,Fear
8/18/2019,14,Extreme Fear
8/17/2019,20,Extreme Fear
8/16/2019,31,Fear
8/15/2019,13,Extreme Fear
8/14/2019,11,Extreme Fear
8/13/2019,45,Fear
8/12/2019,48,Neutral
8/11/2019,45,Fear
8/10/2019,59,Greed
8/9/2019,60,Greed
8/8/2019,61,Greed
8/7/2019,45,Fear
8/6/2019,66,Greed
8/5/2019,64,Greed
8/4/2019,62,Greed
8/3/2019,61,Greed
8/2/2019,61,Greed
8/1/2019,57,Greed
7/31/2019,31,Fear
7/30/2019,22,Extreme Fear
7/29/2019,19,Extreme Fear
7/28/2019,16,Extreme Fear
7/27/2019,47,Neutral
7/26/2019,24,Extreme Fear
7/25/2019,42,Fear
7/24/2019,20,Extreme Fear
7/23/2019,40,Fear
7/22/2019,42,Fear
7/21/2019,42,Fear
7/20/2019,34,Fear
7/19/2019,42,Fear
7/18/2019,40,Fear
7/17/2019,19,Extreme Fear
7/16/2019,34,Fear
7/15/2019,16,Extreme Fear
7/14/2019,61,Greed
7/13/2019,65,Greed
7/12/2019,33,Fear
7/11/2019,62,Greed
7/10/2019,83,Extreme Greed
7/9/2019,84,Extreme Greed
7/8/2019,74,Greed
7/7/2019,67,Greed
7/6/2019,72,Greed
7/5/2019,67,Greed
7/4/2019,76,Extreme Greed
7/3/2019,79,Extreme Greed
7/2/2019,63,Greed
7/1/2019,65,Greed
6/30/2019,78,Extreme Greed
6/29/2019,74,Greed
6/28/2019,62,Greed
6/27/2019,92,Extreme Greed
6/26/2019,95,Extreme Greed
6/25/2019,87,Extreme Greed
6/24/2019,80,Extreme Greed
6/23/2019,84,Extreme Greed
6/22/2019,83,Extreme Greed
6/21/2019,84,Extreme Greed
6/20/2019,81,Extreme Greed
6/19/2019,82,Extreme Greed
6/18/2019,83,Extreme Greed
6/17/2019,84,Extreme Greed
6/16/2019,80,Extreme Greed
6/15/2019,75,Greed
6/14/2019,67,Greed
6/13/2019,63,Greed
6/12/2019,60,Greed
6/11/2019,61,Greed
6/10/2019,46,Fear
6/9/2019,62,Greed
6/8/2019,62,Greed
6/7/2019,27,Fear
6/6/2019,34,Fear
6/5/2019,27,Fear
6/4/2019,42,Fear
6/3/2019,66,Greed
6/2/2019,63,Greed
6/1/2019,62,Greed
5/31/2019,61,Greed
5/30/2019,73,Greed
5/29/2019,71,Greed
5/28/2019,71,Greed
5/27/2019,70,Greed
5/26/2019,67,Greed
5/25/2019,69,Greed
5/24/2019,64,Greed
5/23/2019,65,Greed
5/22/2019,69,Greed
5/21/2019,68,Greed
5/20/2019,73,Greed
5/19/2019,70,Greed
5/18/2019,67,Greed
5/17/2019,65,Greed
5/16/2019,75,Greed
5/15/2019,77,Extreme Greed
5/14/2019,78,Extreme Greed
5/13/2019,78,Extreme Greed
5/12/2019,75,Greed
5/11/2019,76,Extreme Greed
5/10/2019,71,Greed
5/9/2019,69,Greed
5/8/2019,63,Greed
5/7/2019,69,Greed
5/6/2019,57,Greed
5/5/2019,67,Greed
5/4/2019,66,Greed
5/3/2019,63,Greed
5/2/2019,50,Neutral
5/1/2019,51,Neutral
4/30/2019,42,Fear
4/29/2019,42,Fear
4/28/2019,40,Fear
4/27/2019,42,Fear
4/26/2019,41,Fear
4/25/2019,58,Greed
4/24/2019,65,Greed
4/23/2019,68,Greed
4/22/2019,61,Greed
4/21/2019,62,Greed
4/20/2019,62,Greed
4/19/2019,61,Greed
4/18/2019,64,Greed
4/17/2019,61,Greed
4/16/2019,50,Neutral
4/15/2019,60,Greed
4/14/2019,51,Neutral
4/13/2019,62,Greed
4/12/2019,42,Fear
4/11/2019,65,Greed
4/10/2019,62,Greed
4/9/2019,64,Greed
4/8/2019,65,Greed
4/7/2019,69,Greed
4/6/2019,65,Greed
4/5/2019,59,Greed
4/4/2019,61,Greed
4/3/2019,71,Greed
4/2/2019,60,Greed
4/1/2019,62,Greed
3/31/2019,56,Greed
3/30/2019,57,Greed
3/29/2019,50,Neutral
3/28/2019,49,Neutral
3/27/2019,44,Fear
3/26/2019,43,Fear
3/25/2019,46,Fear
3/24/2019,44,Fear
3/23/2019,50,Neutral
3/22/2019,56,Greed
3/21/2019,62,Greed
3/20/2019,55,Greed
3/19/2019,56,Greed
3/18/2019,56,Greed
3/17/2019,58,Greed
3/16/2019,54,Neutral
3/15/2019,55,Greed
3/14/2019,55,Greed
3/13/2019,54,Neutral
3/12/2019,56,Greed
3/11/2019,56,Greed
3/10/2019,55,Greed
3/9/2019,55,Greed
3/8/2019,54,Neutral
3/7/2019,56,Greed
3/6/2019,42,Fear
3/5/2019,35,Fear
3/4/2019,36,Fear
3/3/2019,44,Fear
3/2/2019,41,Fear
3/1/2019,42,Fear
2/28/2019,39,Fear
2/27/2019,39,Fear
2/26/2019,40,Fear
2/25/2019,47,Neutral
2/24/2019,69,Greed
2/23/2019,63,Greed
2/22/2019,61,Greed
2/21/2019,59,Greed
2/20/2019,59,Greed
2/19/2019,65,Greed
2/18/2019,63,Greed
2/17/2019,38,Fear
2/16/2019,43,Fear
2/15/2019,43,Fear
2/14/2019,48,Neutral
2/13/2019,48,Neutral
2/12/2019,38,Fear
2/11/2019,46,Fear
2/10/2019,40,Fear
2/9/2019,42,Fear
2/8/2019,37,Fear
2/7/2019,18,Extreme Fear
2/6/2019,14,Extreme Fear
2/5/2019,21,Extreme Fear
2/4/2019,27,Fear
2/3/2019,19,Extreme Fear
2/2/2019,22,Extreme Fear
2/1/2019,23,Extreme Fear
1/31/2019,17,Extreme Fear
1/30/2019,22,Extreme Fear
1/29/2019,21,Extreme Fear
1/28/2019,35,Fear
1/27/2019,39,Fear
1/26/2019,41,Fear
1/25/2019,35,Fear
1/24/2019,37,Fear
1/23/2019,33,Fear
1/22/2019,27,Fear
1/21/2019,30,Fear
1/20/2019,35,Fear
1/19/2019,31,Fear
1/18/2019,29,Fear
1/17/2019,28,Fear
1/16/2019,24,Extreme Fear
1/15/2019,27,Fear
1/14/2019,16,Extreme Fear
1/13/2019,21,Extreme Fear
1/12/2019,22,Extreme Fear
1/11/2019,19,Extreme Fear
1/10/2019,37,Fear
1/9/2019,42,Fear
1/8/2019,39,Fear
1/7/2019,39,Fear
1/6/2019,31,Fear
1/5/2019,36,Fear
1/4/2019,48,Neutral
1/3/2019,33,Fear
1/2/2019,30,Fear
1/1/2019,24,Extreme Fear
12/31/2018,26,Fear
12/30/2018,23,Extreme Fear
12/29/2018,24,Extreme Fear
12/28/2018,21,Extreme Fear
12/27/2018,29,Fear
12/26/2018,26,Fear
12/25/2018,33,Fear
12/24/2018,25,Extreme Fear
12/23/2018,31,Fear
12/22/2018,28,Fear
12/21/2018,35,Fear
12/20/2018,27,Fear
12/19/2018,21,Extreme Fear
12/18/2018,23,Extreme Fear
12/17/2018,17,Extreme Fear
12/16/2018,13,Extreme Fear
12/15/2018,11,Extreme Fear
12/14/2018,10,Extreme Fear
12/13/2018,14,Extreme Fear
12/12/2018,14,Extreme Fear
12/11/2018,15,Extreme Fear
12/10/2018,19,Extreme Fear
12/9/2018,14,Extreme Fear
12/8/2018,11,Extreme Fear
12/7/2018,11,Extreme Fear
12/6/2018,13,Extreme Fear
12/5/2018,19,Extreme Fear
12/4/2018,12,Extreme Fear
12/3/2018,17,Extreme Fear
12/2/2018,15,Extreme Fear
12/1/2018,13,Extreme Fear
11/30/2018,19,Extreme Fear
11/29/2018,18,Extreme Fear
11/28/2018,14,Extreme Fear
11/27/2018,11,Extreme Fear
11/26/2018,17,Extreme Fear
11/25/2018,9,Extreme Fear
11/24/2018,15,Extreme Fear
11/23/2018,12,Extreme Fear
11/22/2018,14,Extreme Fear
11/21/2018,15,Extreme Fear
11/20/2018,21,Extreme Fear
11/19/2018,28,Fear
11/18/2018,26,Fear
11/17/2018,24,Extreme Fear
11/16/2018,23,Extreme Fear
11/15/2018,28,Fear
11/14/2018,49,Neutral
11/13/2018,56,Greed
11/12/2018,52,Neutral
11/11/2018,54,Neutral
11/10/2018,52,Neutral
11/9/2018,47,Neutral
11/8/2018,51,Neutral
11/7/2018,48,Neutral
11/6/2018,42,Fear
11/5/2018,42,Fear
11/4/2018,41,Fear
11/3/2018,36,Fear
11/2/2018,36,Fear
11/1/2018,29,Fear
10/31/2018,32,Fear
10/30/2018,31,Fear
10/29/2018,34,Fear
10/28/2018,35,Fear
10/27/2018,33,Fear
10/26/2018,29,Fear
10/25/2018,25,Extreme Fear
10/24/2018,23,Extreme Fear
10/23/2018,24,Extreme Fear
10/22/2018,27,Fear
10/21/2018,21,Extreme Fear
10/20/2018,21,Extreme Fear
10/19/2018,24,Extreme Fear
10/18/2018,26,Fear
10/17/2018,23,Extreme Fear
10/16/2018,24,Extreme Fear
10/15/2018,20,Extreme Fear
10/14/2018,18,Extreme Fear
10/13/2018,15,Extreme Fear
10/12/2018,13,Extreme Fear
10/11/2018,19,Extreme Fear
10/10/2018,28,Fear
10/9/2018,31,Fear
10/8/2018,26,Fear
10/7/2018,29,Fear
10/6/2018,34,Fear
10/5/2018,37,Fear
10/4/2018,29,Fear
10/3/2018,36,Fear
10/2/2018,33,Fear
10/1/2018,35,Fear
9/30/2018,34,Fear
9/29/2018,37,Fear
9/28/2018,42,Fear
9/27/2018,42,Fear
9/26/2018,37,Fear
9/25/2018,37,Fear
9/24/2018,43,Fear
9/23/2018,38,Fear
9/22/2018,35,Fear
9/21/2018,31,Fear
9/20/2018,24,Extreme Fear
9/19/2018,24,Extreme Fear
9/18/2018,21,Extreme Fear
9/17/2018,25,Extreme Fear
9/16/2018,28,Fear
9/15/2018,24,Extreme Fear
9/14/2018,23,Extreme Fear
9/13/2018,20,Extreme Fear
9/12/2018,14,Extreme Fear
9/11/2018,18,Extreme Fear
9/10/2018,15,Extreme Fear
9/9/2018,13,Extreme Fear
9/8/2018,18,Extreme Fear
9/7/2018,17,Extreme Fear
9/6/2018,14,Extreme Fear
9/5/2018,17,Extreme Fear
9/4/2018,26,Fear
9/3/2018,19,Extreme Fear
9/2/2018,18,Extreme Fear
9/1/2018,21,Extreme Fear
8/31/2018,17,Extreme Fear
8/30/2018,22,Extreme Fear
8/29/2018,19,Extreme Fear
8/28/2018,19,Extreme Fear
8/27/2018,18,Extreme Fear
8/26/2018,19,Extreme Fear
8/25/2018,22,Extreme Fear
8/24/2018,19,Extreme Fear
8/23/2018,18,Extreme Fear
8/22/2018,21,Extreme Fear
8/21/2018,19,Extreme Fear
8/20/2018,26,Fear
8/19/2018,27,Fear
8/18/2018,24,Extreme Fear
8/17/2018,19,Extreme Fear
8/16/2018,21,Extreme Fear
8/15/2018,18,Extreme Fear
8/14/2018,16,Extreme Fear
8/13/2018,21,Extreme Fear
8/12/2018,18,Extreme Fear
8/11/2018,18,Extreme Fear
8/10/2018,21,Extreme Fear
8/9/2018,19,Extreme Fear
8/8/2018,23,Extreme Fear
8/7/2018,25,Extreme Fear
8/6/2018,25,Extreme Fear
8/5/2018,23,Extreme Fear
8/4/2018,31,Fear
8/3/2018,36,Fear
8/2/2018,39,Fear
8/1/2018,39,Fear
7/31/2018,48,Neutral
7/30/2018,53,Neutral
7/29/2018,54,Neutral
7/28/2018,54,Neutral
7/27/2018,47,Neutral
7/26/2018,53,Neutral
7/25/2018,54,Neutral
7/24/2018,49,Neutral
7/23/2018,44,Fear
7/22/2018,46,Fear
7/21/2018,43,Fear
7/20/2018,47,Neutral
7/19/2018,44,Fear
7/18/2018,42,Fear
7/17/2018,39,Fear
7/16/2018,36,Fear
7/15/2018,32,Fear
7/14/2018,29,Fear
7/13/2018,29,Fear
7/12/2018,33,Fear
7/11/2018,29,Fear
7/10/2018,37,Fear
7/9/2018,39,Fear
7/8/2018,38,Fear
7/7/2018,34,Fear
7/6/2018,34,Fear
7/5/2018,37,Fear
7/4/2018,33,Fear
7/3/2018,31,Fear
7/2/2018,27,Fear
7/1/2018,27,Fear
6/30/2018,22,Extreme Fear
6/29/2018,16,Extreme Fear
6/28/2018,20,Extreme Fear
6/27/2018,18,Extreme Fear
6/26/2018,21,Extreme Fear
6/25/2018,16,Extreme Fear
6/24/2018,15,Extreme Fear
6/23/2018,17,Extreme Fear
6/22/2018,28,Fear
6/21/2018,37,Fear
6/20/2018,34,Fear
6/19/2018,32,Fear
6/18/2018,27,Fear
6/17/2018,23,Extreme Fear
6/16/2018,22,Extreme Fear
6/15/2018,26,Fear
6/14/2018,17,Extreme Fear
6/13/2018,19,Extreme Fear
6/12/2018,19,Extreme Fear
6/11/2018,15,Extreme Fear
6/10/2018,24,Extreme Fear
6/9/2018,39,Fear
6/8/2018,40,Fear
6/7/2018,38,Fear
6/6/2018,42,Fear
6/5/2018,26,Fear
6/4/2018,41,Fear
6/3/2018,40,Fear
6/2/2018,27,Fear
6/1/2018,24,Extreme Fear
5/31/2018,25,Extreme Fear
5/30/2018,38,Fear
5/29/2018,16,Extreme Fear
5/28/2018,22,Extreme Fear
5/27/2018,19,Extreme Fear
5/26/2018,23,Extreme Fear
5/25/2018,25,Extreme Fear
5/24/2018,27,Fear
5/23/2018,26,Fear
5/22/2018,30,Fear
5/21/2018,41,Fear
5/20/2018,32,Fear
5/19/2018,31,Fear
5/18/2018,37,Fear
5/17/2018,31,Fear
5/16/2018,32,Fear
5/15/2018,40,Fear
5/14/2018,40,Fear
5/13/2018,40,Fear
5/12/2018,44,Fear
5/11/2018,41,Fear
5/10/2018,63,Greed
5/9/2018,53,Neutral
5/8/2018,62,Greed
5/7/2018,56,Greed
5/6/2018,67,Greed
5/5/2018,63,Greed
5/4/2018,56,Greed
5/3/2018,55,Greed
5/2/2018,52,Neutral
5/1/2018,56,Greed
4/30/2018,59,Greed
4/29/2018,61,Greed
4/28/2018,54,Neutral
4/27/2018,55,Greed
4/26/2018,47,Neutral
4/25/2018,64,Greed
4/24/2018,29,Fear
4/23/2018,28,Fear
4/22/2018,31,Fear
4/21/2018,32,Fear
4/20/2018,26,Fear
4/19/2018,25,Extreme Fear
4/18/2018,24,Extreme Fear
4/17/2018,26,Fear
4/13/2018,23,Extreme Fear
4/12/2018,18,Extreme Fear
4/11/2018,20,Extreme Fear
4/10/2018,18,Extreme Fear
4/9/2018,21,Extreme Fear
4/8/2018,17,Extreme Fear
4/7/2018,20,Extreme Fear
4/6/2018,19,Extreme Fear
4/5/2018,17,Extreme Fear
4/4/2018,22,Extreme Fear
4/3/2018,22,Extreme Fear
4/2/2018,11,Extreme Fear
4/1/2018,16,Extreme Fear
3/31/2018,16,Extreme Fear
3/30/2018,12,Extreme Fear
3/29/2018,18,Extreme Fear
3/28/2018,24,Extreme Fear
3/27/2018,24,Extreme Fear
3/26/2018,31,Fear
3/25/2018,30,Fear
3/24/2018,32,Fear
3/23/2018,28,Fear
3/22/2018,36,Fear
3/21/2018,36,Fear
3/20/2018,37,Fear
3/19/2018,29,Fear
3/18/2018,29,Fear
3/17/2018,31,Fear
3/16/2018,33,Fear
3/15/2018,32,Fear
3/14/2018,40,Fear
3/13/2018,41,Fear
3/12/2018,41,Fear
3/11/2018,40,Fear
3/10/2018,39,Fear
3/9/2018,37,Fear
3/8/2018,39,Fear
3/7/2018,37,Fear
3/6/2018,59,Greed
3/5/2018,55,Greed
3/4/2018,44,Fear
3/3/2018,56,Greed
3/2/2018,47,Neutral
3/1/2018,38,Fear
2/28/2018,41,Fear
2/27/2018,44,Fear
2/26/2018,37,Fear
2/25/2018,33,Fear
2/24/2018,31,Fear
2/23/2018,39,Fear
2/22/2018,44,Fear
2/21/2018,54,Neutral
2/20/2018,74,Greed
2/19/2018,67,Greed
2/18/2018,63,Greed
2/17/2018,74,Greed
2/16/2018,67,Greed
2/15/2018,71,Greed
2/14/2018,55,Greed
2/13/2018,35,Fear
2/12/2018,42,Fear
2/11/2018,31,Fear
2/10/2018,54,Neutral
2/9/2018,44,Fear
2/8/2018,30,Fear
2/7/2018,36,Fear
2/6/2018,8,Extreme Fear
2/5/2018,11,Extreme Fear
2/4/2018,24,Extreme Fear
2/3/2018,40,Fear
2/2/2018,15,Extreme Fear
2/1/2018,30,Fear
